# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 37 36 3824254652 3239608980 584645672 36096 31734
ipm_global 37 37 11269056 5634528 5634528 498 498
ipm_global 38 2 1048576 524288 524288 64 64
ipm_global 38 4 5046272 5046272 0 121 0
ipm_global 38 6 227328 113664 113664 604 604
ipm_global 38 22 98374176 49187088 49187088 498 498
ipm_global 38 30 669726356 633382948 36343408 34972 2093
ipm_global 38 32 7399632 3699816 3699816 498 498
ipm_global 38 33 9591952 4795976 4795976 498 498
ipm_global 38 34 238110720 119055360 119055360 1124 1124
ipm_global 38 35 9462992 4731496 4731496 498 498
ipm_global 38 36 9819280 4909640 4909640 1102 1102
ipm_global 38 37 3819280124 3236921956 582358168 35968 31617
ipm_global 38 38 9555776 4777888 4777888 498 498
ipm_global 39 3 1048576 524288 524288 64 64
ipm_global 39 4 5046272 5046272 0 121 0
ipm_global 39 7 227328 113664 113664 604 604
ipm_global 39 23 99712688 49856344 49856344 498 498
ipm_global 39 31 670627476 633382948 37244528 34972 2104
ipm_global 39 32 3006838336 54672144 2952166192 1120 35470
ipm_global 39 33 9628128 4814064 4814064 498 498
ipm_global 39 34 9462992 4731496 4731496 498 498
ipm_global 39 35 242234784 121117392 121117392 1124 1124
ipm_global 39 36 581728992 290864496 290864496 996 996
ipm_global 39 37 22831056 11415528 11415528 1102 1102
ipm_global 39 38 3820998316 3238017508 582980808 36118 31756
ipm_global 39 39 9628128 4814064 4814064 498 498
ipm_global 40 4 1048576 524288 524288 64 64
ipm_global 40 5 92545024 45596672 46948352 1012 1078
ipm_global 40 8 227328 113664 113664 604 604
ipm_global 40 24 96052896 48026448 48026448 498 498
ipm_global 40 32 671431556 637164188 34267368 36074 2975
ipm_global 40 33 9462992 4731496 4731496 498 498
ipm_global 40 34 9297856 4648928 4648928 498 498
ipm_global 40 35 9334032 4667016 4667016 498 498
ipm_global 40 36 239945424 119972712 119972712 996 996
ipm_global 40 37 10247280 5123640 5123640 498 498
ipm_global 40 38 9426816 4713408 4713408 498 498
ipm_global 40 39 251766032 4731496 247034536 498 30486
ipm_global 40 40 9297856 4648928 4648928 498 498
ipm_global 41 5 5103616 4579328 524288 163 64
ipm_global 41 9 227328 113664 113664 604 604
ipm_global 41 13 89571328 42622976 46948352 946 1078
ipm_global 41 25 98374176 49187088 49187088 498 498
ipm_global 41 32 7399632 3699816 3699816 498 498
ipm_global 41 33 674859812 638292588 36567224 36074 3019
ipm_global 41 34 9426816 4713408 4713408 498 498
ipm_global 41 35 9462992 4731496 4731496 498 498
ipm_global 41 36 9591952 4795976 4795976 498 498
